rank,startDate,endDate,query,count
58,2020-03-01,2020-03-26,lokaty,58
59,2020-03-01,2020-03-26,igotowka,58
60,2020-03-01,2020-03-26,koronaw,57
61,2020-03-01,2020-03-26,koronawi,57
62,2020-03-01,2020-03-26,koronawiru,56
63,2020-03-01,2020-03-26,zawieszenie kredytu,55
64,2020-03-01,2020-03-26,odroczenie splaty,55
65,2020-03-01,2020-03-26,wakacje kredytow,55
66,2020-03-01,2020-03-26,wakacje k,54
67,2020-03-01,2020-03-26,wakacje kr,54
68,2020-03-01,2020-03-26,wakacje kred,53
69,2020-03-01,2020-03-26,odroczenie splat,53
70,2020-03-01,2020-03-26,wakacje kre,52
71,2020-03-01,2020-03-26,lokata,52
72,2020-03-01,2020-03-26,tabela oplat i prowizji,52
73,2020-03-01,2020-03-26,zaw,51
74,2020-03-01,2020-03-26,przelew,51
75,2020-03-01,2020-03-26,wnios,50
76,2020-03-01,2020-03-26,bic,50
77,2020-03-01,2020-03-26,wakacje kredy,49
78,2020-03-01,2020-03-26,zawi,49
79,2020-03-01,2020-03-26,zawie,49
80,2020-03-01,2020-03-26,leasing,49
81,2020-03-01,2020-03-26,reklamacja,49
82,2020-03-01,2020-03-26,wakacje kredyto,49
83,2020-03-01,2020-03-26,wakacje kredyt,49
84,2020-03-01,2020-03-26,zawiesz,47
85,2020-03-01,2020-03-26,wni,46
86,2020-03-01,2020-03-26,wnio,46
87,2020-03-01,2020-03-26,b,46
88,2020-03-01,2020-03-26,login,46
89,2020-03-01,2020-03-26,kurs walut,46
90,2020-03-01,2020-03-26,tabela oplat,46
91,2020-03-01,2020-03-26,wniose,45
92,2020-03-01,2020-03-26,zawies,45
93,2020-03-01,2020-03-26,a,45
94,2020-03-01,2020-03-26,co,45
95,2020-03-01,2020-03-26,wn,44
96,2020-03-01,2020-03-26,odroczenie splaty kredytu,43
97,2020-03-01,2020-03-26,restrukturyzacja,43
98,2020-03-01,2020-03-26,l,43
99,2020-03-01,2020-03-26,kurs,43
100,2020-03-01,2020-03-26,wplatomat,42
101,2020-03-01,2020-03-26,prz,41
102,2020-03-01,2020-03-26,zawiesze,41
103,2020-03-01,2020-03-26,przelewy,41
104,2020-03-01,2020-03-26,rachunek walutowy,41
105,2020-03-01,2020-03-26,aktywacja karty,40
106,2020-03-01,2020-03-26,zawieszeni,40
107,2020-03-01,2020-03-26,karta kredytowa,40
108,2020-03-01,2020-03-26,zawieszen,39
109,2020-03-01,2020-03-26,karta,39
110,2020-03-01,2020-03-26,formularz,39
111,2020-03-01,2020-03-26,mam bonus,38
112,2020-03-01,2020-03-26,prze,38
113,2020-03-01,2020-03-26,kantor,37
114,2020-03-01,2020-03-26,odroczenia,37
115,2020-03-01,2020-03-26,bankomaty,36
116,2020-03-01,2020-03-26,e,36
117,2020-03-01,2020-03-26,zawieszenie splaty kredytu,35
118,2020-03-01,2020-03-26,odroczenie rat kredytu,35
119,2020-03-01,2020-03-26,d,35
120,2020-03-01,2020-03-26,allegro,35
121,2020-03-01,2020-03-26,wymiana walut,34
122,2020-03-01,2020-03-26,zawieszenie splaty,33
123,2020-03-01,2020-03-26,sesje,33
124,2020-03-01,2020-03-26,kod swift,33
125,2020-03-01,2020-03-26,placowki,33
126,2020-03-01,2020-03-26,gomobile,33
127,2020-03-01,2020-03-26,t,32
128,2020-03-01,2020-03-26,jak,32
129,2020-03-01,2020-03-26,reklamacje,32
130,2020-03-01,2020-03-26,bankowosc internetowa,32
131,2020-03-01,2020-03-26,i,31
132,2020-03-01,2020-03-26,pro,31
133,2020-03-01,2020-03-26,go,31
134,2020-03-01,2020-03-26,m,31
135,2020-03-01,2020-03-26,fx planet,30
136,2020-03-01,2020-03-26,kontakt,30
137,2020-03-01,2020-03-26,zwrot,30
138,2020-03-01,2020-03-26,g,29
139,2020-03-01,2020-03-26,odroczenie ra,29
140,2020-03-01,2020-03-26,kont,29
141,2020-03-01,2020-03-26,biuro maklerskie,29
142,2020-03-01,2020-03-26,kr,28
143,2020-03-01,2020-03-26,przelew natychmiastowy,28
144,2020-03-01,2020-03-26,zamkniecie konta,28
145,2020-03-01,2020-03-26,portfel lokacyjny,28
146,2020-03-01,2020-03-26,kred,27
147,2020-03-01,2020-03-26,odroczenie s,27
148,2020-03-01,2020-03-26,ubezpieczenie,27
149,2020-03-01,2020-03-26,oddzialy,27
150,2020-03-01,2020-03-26,zwrot prowizji,27
151,2020-03-01,2020-03-26,odroczenie spla,26
152,2020-03-01,2020-03-26,ka,26
153,2020-03-01,2020-03-26,kre,26
154,2020-03-01,2020-03-26,f,26
155,2020-03-01,2020-03-26,odroczenie sp,26
156,2020-03-01,2020-03-26,konto socjalne,26
157,2020-03-01,2020-03-26,odroczenie r,26
158,2020-03-01,2020-03-26,bankomat,26
159,2020-03-01,2020-03-26,profil,26
160,2020-03-01,2020-03-26,aplikacja,26
161,2020-03-01,2020-03-26,moje finanse,26
162,2020-03-01,2020-03-26,odroczenie spl,25
163,2020-03-01,2020-03-26,kredy,25
164,2020-03-01,2020-03-26,kon,25
165,2020-03-01,2020-03-26,ike,25
166,2020-03-01,2020-03-26,re,25
167,2020-03-01,2020-03-26,odroczenierat,24
168,2020-03-01,2020-03-26,fotowoltaika,24
169,2020-03-01,2020-03-26,wypowiedzenie,24
170,2020-03-01,2020-03-26,konto dla mlodych,23
171,2020-03-01,2020-03-26,przel,23
172,2020-03-01,2020-03-26,taryfa oplat,23
173,2020-03-01,2020-03-26,zamkniecie,22
174,2020-03-01,2020-03-26,wniosek o odroczenie,22
175,2020-03-01,2020-03-26,covid,22
176,2020-03-01,2020-03-26,j,22
177,2020-03-01,2020-03-26,tabela,22
178,2020-03-01,2020-03-26,kredyt gotowkowy,22
179,2020-03-01,2020-03-26,limit,22
180,2020-03-01,2020-03-26,odroczenie raty,21
181,2020-03-01,2020-03-26,konto osobiste,21
182,2020-03-01,2020-03-26,tabela oplat i,20
183,2020-03-01,2020-03-26,oddzial,20
184,2020-03-01,2020-03-26,"""pl net""",20
185,2020-03-01,2020-03-26,taryfa,20
186,2020-03-01,2020-03-26,taryfa oplat i prowizji,20
187,2020-03-01,2020-03-26,pit,19
188,2020-03-01,2020-03-26,500,19
189,2020-03-01,2020-03-26,zmiana,19
190,2020-03-01,2020-03-26,pin,19
191,2020-03-01,2020-03-26,wyplata,19
192,2020-03-01,2020-03-26,waluty,19
193,2020-03-01,2020-03-26,do pobrania,19
194,2020-03-01,2020-03-26,odblokowanie,19
195,2020-03-01,2020-03-26,kar,18
196,2020-03-01,2020-03-26,zawieszenie rat kredytu,18
197,2020-03-01,2020-03-26,wypowiedzenie umowy,18
198,2020-03-01,2020-03-26,fx,18
199,2020-03-01,2020-03-26,wibor,18
200,2020-03-01,2020-03-26,sesje przelewow,17
